geschlecht,alter,bundesland,beruf,konsumhaeufigkeit,situation_freunde_familie,situation_party,situation_zuhause_essen,situation_zuhause_entspannung,situation_oeffentliche_veranstaltungen,situation_gastro,situation_urlaub,involvement_interesse,involvement_rolle,involvement_spass,involvement_wichtigkeit,involvement_vorteilhaft,involvement_unverzichtbar,gesundheit_wichtig,umweltfreundlich_wichtig,neue_produkte_probie,bio_mehrpreis_bereit,tierfrei_wichtig,alkoholverzicht_wichtig,einfluss_geschmack,einfluss_geruch,einfluss_preis,einfluss_markenbekanntheit,einfluss_nachhaltigkeit,einfluss_herkunft,einfluss_verpackungsdesign,einfluss_verpackungsform,einfluss_aktionsangebote,einfluss_alkoholgehalt,einfluss_empfehlung,einfluss_verfuegbarkeit,praef_sorte_alkoholfrei,praef_sorte_weizen,praef_sorte_koelsch,praef_sorte_altbier,praef_sorte_pale_ale,praef_sorte_stout,praef_sorte_maerzen_export,praef_sorte_radler,praef_sorte_pils,praef_sorte_bock_schwarzrauchbier,praef_sorte_helles_lager,praef_sorte_craft_beer,praef_alkoholfrei_0,praef_alkoholfrei_0_5,praef_bier_alkohol,geschmack_rauchig,geschmack_hopfig,geschmack_suesslich_malzig,geschmack_fruchtig,geschmack_kraeuter,geschmack_gewuerze,geschmack_bitter,geschmack_saeuerlich,geschmack_zitrus,score,broken_rules,explanation
weiblich,1998,Baden-Württemberg,Angestellte / Angestellter,einmal pro Monat,2,2,2,2,1,1,2,4,2,1,1,3,1,3,1,3,2,2,1,5,5,4,1,2,4,2,2,3,4,4,3,2,3,4,1,2,1,3,3,3,2,2,2,1,3,5,2,4,1,3,1,1,1,2,3,50,"[""Abstinence Contradiction""]","The user states that avoiding alcohol is not important (alkoholverzicht_wichtig == 1) but shows a very high preference for normal alcoholic beer (praef_bier_alkohol == 5), which is consistent."
maennlich,2006,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,1,3,3,2,3,2,2,1,1,3,1,3,2,5,2,5,2,5,1,5,4,4,3,2,4,3,3,2,2,2,1,4,3,1,3,1,5,4,1,2,1,3,1,1,1,4,2,3,1,5,2,3,2,2,1,50,"[""Disinterest vs. Frequency"", ""Health Contradiction""]","The user shows no interest in beer and states it plays no role, yet reports frequent consumption, and also considers healthy nutrition and avoiding alcohol very important while stating beer consumption is advantageous."
unbekannt,2000,Baden-Württemberg,keine Angabe,mehrmals im Monat,2,3,2,1,3,3,2,2,3,3,1,2,1,4,3,2,3,4,3,5,5,4,1,1,5,3,4,5,2,3,2,5,2,3,1,1,1,4,5,3,1,5,3,1,2,4,1,5,1,3,5,2,2,2,3,75,[],The data row is logically consistent with no broken rules.
weiblich,1998,Baden-Württemberg,Studentin / Student,mehrmals im Monat,3,3,2,1,1,3,3,5,2,4,3,3,4,4,3,2,2,2,1,5,3,3,4,3,5,2,1,4,3,2,5,3,4,4,1,1,5,1,4,3,1,5,1,1,4,2,1,1,3,4,1,3,2,3,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2000,Baden-Württemberg,keine Angabe,täglich,2,3,1,2,2,2,2,1,1,5,1,1,1,4,3,3,2,2,3,5,3,4,1,2,3,2,3,4,2,3,4,3,3,1,1,4,1,3,4,5,2,5,2,3,1,4,3,2,3,2,5,2,2,4,2,50,"[""Disinterest vs. Frequency"", ""Abstinence Contradiction""]","The user shows 'no interest at all' in beer and states that beer plays 'no role at all', yet they consume beer 'daily', which violates the disinterest rule, and they also have a high preference for alcoholic beer while stating that avoiding alcohol is important."
maennlich,2004,Baden-Württemberg,Studentin / Student,mehrmals pro Woche,2,3,2,2,3,2,3,4,3,3,3,1,2,5,2,3,1,4,1,5,4,3,2,3,3,4,1,5,3,3,3,1,5,5,1,1,2,1,1,1,2,2,2,3,4,4,3,1,5,4,1,3,3,4,4,50,"[""Abstinence Contradiction"", ""Health Contradiction""]",The data row violates the Abstinence Contradiction and Health Contradiction rules.
maennlich,2002,Bayern,Angestellte / Angestellter,mehrmals im Monat,2,2,2,1,3,2,1,5,2,5,4,4,5,4,1,3,3,4,2,5,5,5,1,2,3,3,2,3,1,4,4,4,3,1,1,1,3,1,3,4,2,4,1,3,2,3,2,3,2,1,3,3,4,2,4,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2000,Baden-Württemberg,keine Angabe,mehrmals im Monat,2,3,2,1,3,2,3,2,2,3,3,4,3,4,5,5,4,1,3,5,2,3,1,2,1,3,3,2,2,3,4,4,3,1,1,1,1,1,4,3,1,5,1,2,2,4,3,3,4,2,2,2,2,2,1,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2004,Baden-Württemberg,Angestellte / Angestellter,einmal pro Monat,2,3,2,2,3,3,2,2,1,4,1,1,3,4,2,4,1,1,3,4,5,3,3,5,3,3,2,3,4,3,5,1,3,3,2,2,4,1,1,4,2,5,1,5,1,4,2,3,1,4,2,1,5,2,2,75,[],The data row is logically consistent with no broken rules.
maennlich,2004,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,3,2,2,3,2,2,3,4,1,1,1,2,3,2,3,2,1,4,3,3,4,3,5,3,3,5,3,3,3,1,4,1,1,2,3,5,4,1,1,4,2,3,4,4,2,4,1,5,2,1,3,2,2,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2000,Baden-Württemberg,Angestellte / Angestellter,mehrmals im Monat,2,3,2,1,2,3,2,5,5,1,5,5,1,4,1,4,1,4,1,4,4,4,1,2,3,4,1,4,4,3,1,3,3,1,1,1,3,2,3,5,1,3,1,3,3,3,1,3,4,3,1,4,1,2,4,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2004,keine Angabe,Studentin / Student,einmal pro Monat,3,1,1,1,3,3,1,2,3,3,4,2,2,5,3,3,4,2,3,5,4,4,3,3,5,2,3,2,2,4,3,1,4,1,2,1,1,1,3,1,2,5,3,1,1,3,1,3,4,1,1,2,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2002,Baden-Württemberg,Studentin / Student,täglich,3,2,2,1,3,3,2,5,1,3,4,3,4,4,2,2,1,4,2,4,2,4,3,1,3,2,3,3,2,3,4,2,2,2,2,1,3,1,1,4,1,5,1,3,3,3,2,4,4,3,2,1,3,1,1,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2000,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,2,2,2,2,5,1,4,1,2,4,2,3,4,2,1,1,3,4,3,3,3,3,1,2,3,2,3,5,1,4,1,1,1,1,1,4,3,1,5,3,1,1,5,2,2,1,2,2,3,1,2,3,50,"[""Abstinence Contradiction"", ""Disinterest vs. Frequency""]","The user shows a high preference for alcoholic beer while stating that avoiding alcohol is not important, which violates the Abstinence Contradiction, and also expresses high interest in beer while indicating it plays no role at all, violating the Disinterest vs. Frequency rule."
weiblich,keine Angabe,Baden-Württemberg,Beamtin / Beamter,mehrmals im Monat,2,3,1,1,2,3,2,1,2,3,5,1,3,5,3,2,1,1,1,5,3,4,3,2,3,2,2,4,3,3,3,4,4,1,1,1,1,5,5,4,2,4,1,2,2,3,1,3,4,2,1,1,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2004,Sachsen,Angestellte / Angestellter,mehrmals im Monat,2,3,2,1,2,2,2,2,3,2,1,3,1,1,5,2,5,1,3,2,4,3,2,2,4,4,2,4,1,3,5,2,3,5,1,2,1,3,4,3,2,5,2,1,3,5,2,2,3,3,2,3,3,2,4,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for normal alcoholic beer while stating that avoiding alcohol is somewhat important, and also considers healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
maennlich,1995,Rheinland-Pfalz,Studentin / Student,mehrmals pro Woche,2,3,1,2,3,2,2,2,2,3,3,3,1,3,5,1,2,4,3,5,2,3,2,1,3,2,2,5,3,5,4,1,2,1,1,2,2,5,1,3,1,4,3,2,2,3,2,3,4,4,1,1,2,2,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,1999,Baden-Württemberg,Schülerin / Schüler,seltener als einmal pro Monat,2,3,2,1,3,3,2,1,3,5,2,1,1,5,5,2,3,3,1,4,4,3,3,3,4,2,2,4,2,3,4,2,5,4,1,1,1,1,4,5,2,5,2,2,1,5,1,4,1,4,3,3,1,2,3,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while stating that avoiding alcohol is not important, and also considers healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
unbekannt,1995,Baden-Württemberg,Studentin / Student,einmal pro Monat,3,3,1,1,3,2,2,4,3,3,2,3,4,4,3,2,4,1,2,3,3,4,2,2,5,4,5,4,2,4,3,3,1,1,3,1,1,5,2,3,1,4,1,2,1,4,2,5,3,3,3,1,2,1,1,100,[],All responses are logically consistent with the evaluation rules.
weiblich,keine Angabe,Baden-Württemberg,Studentin / Student,seltener als einmal pro Monat,2,2,1,1,3,3,3,1,1,5,1,1,1,5,1,3,3,2,3,5,4,3,3,1,3,4,2,3,2,3,4,5,3,1,1,1,3,2,4,2,1,4,3,1,1,2,1,3,2,2,3,5,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
maennlich,1998,keine Angabe,Schülerin / Schüler,mehrmals im Monat,2,3,1,3,3,2,2,1,3,1,1,5,1,5,3,2,4,2,1,4,5,3,3,1,5,4,4,3,2,3,3,2,2,1,2,2,4,3,3,4,1,4,1,1,1,3,2,1,4,3,1,1,2,1,5,75,[],The data row is logically consistent with no broken rules.
weiblich,2005,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,2,2,1,3,1,2,2,1,2,2,1,1,5,4,4,2,1,4,4,4,2,3,1,5,4,2,3,5,4,4,5,2,4,1,2,1,3,4,1,1,5,3,2,3,4,1,5,3,3,1,1,3,2,4,50,"[""Health Contradiction"", ""Abstinence Contradiction""]","The user considers healthy nutrition and avoiding alcohol very important while also showing a high preference for alcoholic beer, violating the established rules."
maennlich,2003,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,2,1,2,3,2,4,3,4,2,1,1,5,3,4,2,2,4,5,4,3,1,1,3,2,3,5,3,3,3,1,4,1,1,1,1,4,4,3,3,4,1,3,3,4,1,3,1,3,2,1,1,2,3,50,"[""Health Contradiction"", ""Abstinence Contradiction""]",The user considers healthy nutrition and avoiding alcohol very important while also stating that beer consumption is advantageous and shows a high preference for alcoholic beer.
maennlich,2004,Baden-Württemberg,Studentin / Student,einmal pro Monat,2,2,1,3,2,3,1,3,3,5,4,1,2,5,3,5,3,1,1,5,3,4,3,2,2,2,4,3,3,3,4,3,3,1,2,1,3,2,3,3,1,5,2,3,2,4,1,3,3,3,2,3,1,2,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,1996,Baden-Württemberg,Studentin / Student,mehrmals pro Woche,2,3,2,2,3,2,3,4,3,5,2,4,3,4,5,2,2,1,3,5,4,4,2,2,4,4,3,3,3,3,4,4,3,3,2,2,1,2,5,5,2,1,1,3,1,3,1,3,3,4,2,4,2,2,5,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2001,Baden-Württemberg,Studentin / Student,mehrmals im Monat,3,3,2,2,2,2,2,2,2,5,2,4,1,3,4,5,3,3,1,5,1,3,2,3,3,5,4,3,4,3,5,3,4,2,1,1,3,4,3,1,2,5,4,2,1,5,2,1,1,2,1,2,1,1,3,50,"[""Abstinence Contradiction""]","The user states that avoiding alcohol is not important (alkoholverzicht_wichtig == 1) but shows a very high preference for normal alcoholic beer (praef_bier_alkohol == 5), which is consistent."
maennlich,2000,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,1,1,2,3,5,1,4,1,5,2,5,2,4,4,1,2,5,4,4,3,2,2,3,1,3,3,5,3,3,1,1,4,2,4,1,4,1,1,5,1,3,2,4,2,2,1,5,1,3,3,2,4,50,"[""Disinterest vs. Frequency"", ""Health Contradiction""]","The user shows high interest in beer while also stating that beer plays no role at all, and they consider healthy nutrition and avoiding alcohol very important while also stating beer consumption is very advantageous."
maennlich,2001,keine Angabe,Angestellte / Angestellter,mehrmals pro Woche,3,3,1,3,2,2,2,3,2,4,4,1,1,5,4,4,1,3,5,5,3,4,4,1,4,4,1,3,1,3,4,1,5,3,1,1,1,2,4,3,4,3,3,3,2,3,2,4,5,5,1,2,2,3,2,50,"[""Health Contradiction"", ""Abstinence Contradiction""]","The user states that avoiding alcohol is very important and also considers healthy nutrition very important, while indicating that beer consumption is not advantageous, which is inconsistent."
maennlich,2003,Berlin,keine Angabe,mehrmals im Monat,3,3,3,3,1,3,2,2,5,4,3,3,1,5,5,4,4,2,1,4,5,4,1,1,5,2,3,3,2,3,3,3,1,1,1,2,2,3,4,2,2,5,3,2,3,4,2,4,4,2,2,2,4,4,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,keine Angabe,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,3,2,2,1,3,2,2,2,3,1,3,3,1,4,3,4,1,1,1,5,4,3,4,3,3,5,3,1,2,3,3,2,3,1,1,1,1,2,4,3,2,3,1,2,3,5,1,3,1,1,1,3,3,3,2,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while stating that avoiding alcohol is not important, and also considers healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
maennlich,2000,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,2,1,3,2,1,1,5,3,2,2,5,3,1,2,1,2,4,5,4,1,2,3,3,2,4,2,3,5,2,3,3,1,1,2,5,4,3,1,1,2,2,5,4,2,2,2,3,2,2,2,2,5,50,"[""Disinterest vs. Frequency"", ""Health Contradiction""]","The user shows no interest in beer and states it plays no role, yet reports a frequency of consumption as 'mehrmals im Monat', and also considers healthy nutrition and avoiding alcohol very important while stating beer consumption is advantageous."
weiblich,keine Angabe,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,1,3,2,3,2,3,3,1,3,1,4,3,4,2,5,3,5,3,2,3,2,2,3,3,3,2,3,3,2,4,3,1,1,1,2,4,1,2,3,3,2,2,5,4,3,1,3,2,3,3,2,3,50,"[""Abstinence Contradiction""]","The user states a high preference for normal alcoholic beer (praef_bier_alkohol == 5) while indicating that avoiding alcohol is somewhat important (alkoholverzicht_wichtig == 3), which violates the Abstinence Contradiction rule."
maennlich,2004,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,2,3,3,3,1,1,2,3,1,2,4,5,3,3,2,2,4,5,1,3,1,4,3,4,2,3,1,5,4,1,2,1,1,1,5,4,4,3,2,5,2,2,2,3,4,3,4,5,1,2,1,1,3,75,[],The data row is logically consistent with no broken rules.
maennlich,keine Angabe,Baden-Württemberg,Angestellte / Angestellter,mehrmals im Monat,3,3,2,3,2,3,1,4,3,4,1,4,2,4,4,3,1,5,1,4,2,4,4,2,1,3,4,5,2,4,3,3,3,3,1,2,1,2,1,3,1,2,1,1,2,2,2,1,3,4,1,1,1,1,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2007,Bayern,Angestellte / Angestellter,mehrmals pro Woche,2,3,2,1,2,2,2,2,1,5,2,4,1,3,2,2,3,3,1,4,2,3,3,3,3,3,3,3,4,3,5,3,5,2,3,3,2,1,4,2,2,2,2,1,1,3,2,3,4,3,1,2,3,3,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2002,Baden-Württemberg,Studentin / Student,mehrmals pro Woche,1,3,1,2,2,3,1,4,3,3,1,1,5,3,2,2,3,2,1,5,4,4,3,5,3,2,3,4,1,4,2,4,2,1,1,1,2,2,4,3,2,5,3,1,3,3,2,4,1,3,1,2,3,2,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2000,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,2,2,1,3,2,3,3,4,1,2,5,1,3,4,4,3,1,3,4,4,4,2,3,2,4,2,4,1,3,4,3,3,3,3,2,2,4,4,4,2,5,4,1,4,3,1,3,1,3,2,2,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
unbekannt,1997,Baden-Württemberg,Studentin / Student,mehrmals pro Woche,3,2,2,1,3,2,2,5,3,4,2,3,1,4,4,4,3,5,4,5,4,4,1,4,2,3,4,2,4,3,5,1,3,1,2,2,2,4,4,3,5,5,3,1,3,5,1,3,2,5,2,2,4,1,1,50,"[""Abstinence Contradiction"", ""Disinterest vs. Frequency""]","The user shows a high preference for alcoholic beer while also indicating that avoiding alcohol is important, and they express high interest in beer while being a frequent consumer."
weiblich,1995,Baden-Württemberg,Studentin / Student,mehrmals im Monat,3,3,2,1,3,2,2,2,2,1,5,1,1,4,4,4,3,1,3,5,4,2,3,3,1,1,2,5,2,3,5,1,2,3,1,2,1,1,4,4,2,1,1,1,1,5,1,2,2,5,1,1,3,2,3,50,"[""Abstinence Contradiction""]","The user states that avoiding alcohol is moderately important (3) but shows a very high preference for normal alcoholic beer (5), which is inconsistent."
maennlich,2002,Baden-Württemberg,Studentin / Student,mehrmals pro Woche,3,2,1,1,3,3,1,2,2,4,2,4,3,1,3,4,2,1,1,4,3,2,3,3,4,4,4,4,2,3,5,2,3,1,1,2,3,2,5,3,4,5,1,2,3,3,2,3,3,3,2,2,3,2,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2002,Baden-Württemberg,Studentin / Student,täglich,2,3,2,2,2,3,2,3,5,2,5,1,1,4,5,5,3,3,1,2,2,4,4,5,3,5,4,5,2,3,3,3,4,1,2,2,3,3,4,1,2,4,2,1,1,5,1,3,1,5,3,1,4,2,5,50,"[""Abstinence Contradiction"", ""Disinterest vs. Frequency""]","The user shows a high preference for alcoholic beer while indicating that avoiding alcohol is not important, and they also claim to be a frequent consumer despite expressing low interest in beer."
maennlich,2001,Baden-Württemberg,keine Angabe,mehrmals pro Woche,2,3,2,1,2,3,2,3,2,2,1,3,1,3,1,2,5,4,3,4,3,4,5,2,2,5,4,2,1,3,5,2,5,3,1,2,3,4,3,4,1,5,1,2,3,5,2,4,1,3,2,3,3,2,5,50,"[""Abstinence Contradiction"", ""Disinterest vs. Frequency""]","The user shows a high preference for alcoholic beer while also indicating a moderate importance on abstaining from alcohol, and they express frequent consumption despite low interest and role of beer."
weiblich,1998,Baden-Württemberg,Studentin / Student,einmal pro Monat,2,3,1,2,3,3,2,5,2,4,1,2,1,3,3,4,3,2,3,5,5,3,3,3,3,2,3,2,1,3,4,2,3,1,1,3,1,1,4,1,2,1,1,2,1,5,3,1,5,3,1,3,3,1,1,50,"[""Abstinence Contradiction""]","The user states that avoiding alcohol is moderately important (3) but shows a very high preference for normal alcoholic beer (5), which violates the Abstinence Contradiction rule."
unbekannt,2002,Baden-Württemberg,Studentin / Student,täglich,3,3,2,1,2,2,3,2,1,3,2,1,1,3,2,1,4,4,1,5,5,5,3,2,3,1,4,4,2,5,4,4,5,5,1,2,1,1,5,3,5,5,3,2,2,3,2,5,4,3,4,2,1,5,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,1996,Baden-Württemberg,Angestellte / Angestellter,täglich,2,3,2,2,2,2,2,5,1,4,2,5,1,4,4,4,4,1,2,4,3,4,2,4,4,4,2,3,2,2,3,4,4,1,1,3,1,2,5,5,1,5,1,2,1,4,3,4,2,3,2,2,1,2,3,50,"[""Disinterest vs. Frequency"", ""Health Contradiction""]","The user shows high interest in beer while stating it plays no role at all, and also considers beer consumption very advantageous despite valuing healthy nutrition and alcohol avoidance."
weiblich,1998,Baden-Württemberg,Studentin / Student,mehrmals im Monat,1,3,3,1,3,2,2,5,2,5,1,3,1,2,2,2,2,1,3,5,2,5,2,2,5,3,5,4,4,4,3,1,3,3,4,3,1,3,1,5,2,5,5,1,1,3,1,4,3,5,2,2,2,2,2,100,[],All responses are logically consistent with the evaluation rules.
weiblich,1999,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,1,2,1,3,3,3,4,1,3,2,1,4,3,1,3,1,2,1,4,5,3,3,3,4,3,3,4,2,4,4,4,3,1,2,2,2,4,1,3,1,5,4,2,3,1,2,1,1,5,1,3,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2000,Baden-Württemberg,Angestellte / Angestellter,mehrmals im Monat,3,3,2,3,1,3,3,2,2,4,2,3,1,3,1,4,4,5,3,4,3,5,4,2,3,2,4,1,2,3,2,2,5,1,1,2,1,3,3,4,2,5,1,2,2,3,3,3,4,3,1,2,2,1,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2000,Bayern,Schülerin / Schüler,mehrmals im Monat,2,3,2,1,1,3,2,4,1,3,4,2,4,4,3,2,3,2,1,5,3,3,1,1,3,3,3,5,1,3,4,2,1,1,1,1,1,2,3,5,2,5,2,1,2,4,2,3,4,4,2,2,3,2,3,75,"[""Disinterest vs. Frequency""]","The user shows 'no role at all' for beer (involvement_rolle == 1) but states a consumption frequency of 'mehrmals im Monat', which is inconsistent."
